SDF assignment March 2019, simulated position coordinate readings
 LZF, 12 Mar 2019
 time/s xMeas/m yMeas/m range/m angle/rad
1521600 -4276.069 -6158.845 7500.530 -2.178
1521660 -4270.279 -6157.534 7499.100 -2.178
1521720 -4284.075 -6160.978 7499.630 -2.178
1521780 -4279.420 -6155.277 7500.490 -2.178
1521840 -4279.672 -6166.072 7499.040 -2.178
1521900 -4283.948 -6164.767 7500.850 -2.178
1521960 -4277.148 -6162.490 7500.120 -2.178
1522020 -4278.488 -6162.870 7498.010 -2.178
1522080 -4278.405 -6163.185 7501.190 -2.177
1522140 -4270.293 -6165.541 7500.430 -2.177
1522200 -4271.882 -6166.954 7499.800 -2.177
1522260 -4277.169 -6170.800 7500.810 -2.177
1522320 -4269.730 -6170.799 7501.160 -2.177
1522380 -4276.018 -6161.909 7500.400 -2.177
1522440 -4274.667 -6173.492 7500.400 -2.177
1522500 -4272.203 -6164.752 7500.610 -2.177
1522560 -4274.581 -6165.788 7499.970 -2.176
1522620 -4272.531 -6164.991 7501.560 -2.176
1522680 -4271.287 -6171.902 7498.800 -2.176
1522740 -4270.622 -6166.340 7500.440 -2.176
1522800 -4270.213 -6168.901 7502.150 -2.176
1522860 -4260.835 -6165.587 7502.410 -2.176
1522920 -4264.274 -6170.840 7502.970 -2.176
1522980 -4268.824 -6162.277 7502.900 -2.176
1523040 -4263.626 -6166.519 7503.420 -2.176
1523100 -4263.396 -6170.652 7502.670 -2.176
1523160 -4261.595 -6171.577 7503.650 -2.176
1523220 -4265.052 -6175.057 7504.060 -2.176
1523280 -4269.842 -6169.558 7502.230 -2.175
1523340 -4261.898 -6170.387 7501.600 -2.175
1523400 -4262.522 -6169.703 7502.000 -2.175
1523460 -4266.809 -6173.242 7503.530 -2.175
1523520 -4255.861 -6170.350 7503.810 -2.175
1523580 -4263.556 -6176.783 7501.700 -2.175
1523640 -4257.611 -6181.648 7503.270 -2.175
1523700 -4265.735 -6179.886 7501.800 -2.175
1523760 -4254.001 -6170.563 7502.180 -2.175
1523820 -4260.139 -6173.906 7502.140 -2.175
1523880 -4261.033 -6182.334 7503.320 -2.174
1523940 -4254.897 -6179.207 7503.540 -2.175
1524000 -4258.587 -6176.939 7503.840 -2.174
1524060 -4250.258 -6180.074 7502.970 -2.174
1524120 -4249.179 -6172.944 7503.950 -2.174
1524180 -4255.635 -6180.520 7502.310 -2.174
1524240 -4245.079 -6180.646 7505.130 -2.174
1524300 -4256.901 -6182.874 7503.700 -2.174
1524360 -4257.379 -6181.646 7504.110 -2.174
1524420 -4258.925 -6182.692 7503.770 -2.174
1524480 -4258.234 -6191.005 7502.870 -2.174
1524540 -4251.663 -6179.618 7503.930 -2.173
1524600 -4254.139 -6184.050 7503.830 -2.173
1524660 -4247.547 -6177.303 7503.410 -2.173
1524720 -4249.957 -6179.526 7504.000 -2.173
1524780 -4251.820 -6189.754 7505.500 -2.173
1524840 -4252.050 -6182.072 7504.340 -2.173
1524900 -4252.316 -6190.815 7504.660 -2.173
1524960 -4248.291 -6190.273 7503.030 -2.172
1525020 -4249.535 -6188.000 7504.790 -2.173
1525080 -4244.041 -6192.454 7505.090 -2.173
1525140 -4258.214 -6192.182 7505.890 -2.172
1525200 -4239.873 -6187.526 7505.790 -2.172
1525260 -4250.436 -6193.367 7505.850 -2.172
1525320 -4242.147 -6195.588 7506.080 -2.172
1525380 -4252.069 -6183.989 7505.750 -2.172
1525440 -4240.989 -6185.603 7504.810 -2.172
1525500 -4249.090 -6185.883 7505.800 -2.172
1525560 -4234.407 -6189.529 7505.430 -2.172
1525620 -4242.025 -6191.953 7504.920 -2.171
1525680 -4241.291 -6186.018 7505.890 -2.171
1525740 -4244.849 -6185.959 7506.660 -2.171
1525800 -4243.128 -6194.848 7505.380 -2.171
1525860 -4240.107 -6185.778 7507.180 -2.171
1525920 -4239.015 -6200.813 7505.280 -2.171
1525980 -4239.214 -6200.549 7505.650 -2.171
1526040 -4244.314 -6196.819 7505.290 -2.171
1526100 -4242.721 -6197.819 7507.640 -2.171
1526160 -4236.102 -6194.589 7506.990 -2.171
1526220 -4235.198 -6193.226 7504.660 -2.171
1526280 -4240.323 -6199.071 7506.770 -2.170
1526340 -4229.502 -6193.306 7507.010 -2.170
1526400 -4235.363 -6194.568 7505.740 -2.170
1526460 -4228.766 -6203.495 7505.390 -2.170
1526520 -4237.008 -6196.148 7506.450 -2.170
1526580 -4225.851 -6196.121 7507.370 -2.170
1526640 -4230.769 -6203.133 7506.580 -2.170
1526700 -4230.523 -6201.913 7508.710 -2.170
1526760 -4237.573 -6197.155 7506.920 -2.170
1526820 -4231.202 -6191.747 7507.890 -2.170
1526880 -4223.708 -6203.248 7506.090 -2.169
1526940 -4229.474 -6203.357 7506.870 -2.169
1527000 -4229.123 -6200.612 7507.760 -2.169
1527060 -4225.025 -6204.270 7507.610 -2.169
1527120 -4225.811 -6207.551 7506.730 -2.169
1527180 -4228.670 -6209.776 7509.410 -2.169
1527240 -4225.663 -6211.737 7508.320 -2.169
1527300 -4224.871 -6198.200 7507.220 -2.169
1527360 -4227.145 -6204.360 7507.460 -2.169
1527420 -4230.392 -6205.710 7507.540 -2.169
1527480 -4221.893 -6205.140 7509.670 -2.169
1527540 -4224.039 -6211.513 7507.730 -2.168
1527600 -4224.453 -6206.122 7508.830 -2.168
1527660 -4221.031 -6205.422 7509.050 -2.168
1527720 -4231.174 -6215.913 7509.730 -2.168
1527780 -4218.683 -6207.569 7509.710 -2.168
1527840 -4222.137 -6209.919 7512.330 -2.168
1527900 -4221.229 -6209.325 7510.230 -2.168
1527960 -4217.841 -6210.703 7511.170 -2.168
1528020 -4228.465 -6210.944 7510.280 -2.168
1528080 -4213.591 -6216.869 7511.390 -2.168
1528140 -4222.158 -6211.572 7511.980 -2.167
1528200 -4229.528 -6213.652 7511.080 -2.168
1528260 -4226.336 -6215.518 7511.910 -2.167
1528320 -4213.629 -6211.866 7511.440 -2.167
1528380 -4217.860 -6217.624 7512.550 -2.167
1528440 -4219.216 -6217.656 7510.170 -2.167
1528500 -4216.165 -6214.707 7512.440 -2.167
1528560 -4221.524 -6219.299 7513.090 -2.167
1528620 -4215.830 -6224.912 7514.070 -2.167
1528680 -4218.571 -6224.356 7512.580 -2.167
1528740 -4215.614 -6221.377 7514.080 -2.167
1528800 -4209.778 -6212.158 7512.330 -2.166
1528860 -4212.844 -6210.731 7513.500 -2.166
1528920 -4208.774 -6220.287 7513.120 -2.166
1528980 -4209.427 -6227.151 7514.200 -2.166
1529040 -4213.059 -6221.320 7514.220 -2.166
1529100 -4214.693 -6218.810 7515.900 -2.166
1529160 -4210.776 -6212.397 7515.350 -2.166
1529220 -4217.002 -6215.537 7513.400 -2.166
1529280 -4212.569 -6224.953 7515.670 -2.166
1529340 -4208.764 -6229.291 7516.320 -2.166
1529400 -4207.833 -6226.502 7515.060 -2.166
1529460 -4212.594 -6229.400 7514.490 -2.166
1529520 -4209.469 -6220.663 7516.030 -2.166
1529580 -4208.530 -6227.454 7516.210 -2.165
1529640 -4213.307 -6227.264 7515.440 -2.165
1529700 -4212.208 -6230.269 7516.120 -2.165
1529760 -4210.105 -6225.392 7515.320 -2.165
1529820 -4203.087 -6232.702 7516.780 -2.165
1529880 -4203.430 -6225.275 7516.820 -2.165
1529940 -4200.873 -6233.351 7516.290 -2.165
1530000 -4201.748 -6228.085 7516.630 -2.165
1530060 -4204.746 -6232.066 7515.850 -2.165
1530120 -4204.093 -6228.244 7515.660 -2.165
1530180 -4204.517 -6234.620 7516.370 -2.165
1530240 -4200.312 -6234.243 7517.050 -2.164
1530300 -4203.856 -6236.093 7517.030 -2.164
1530360 -4200.364 -6232.767 7516.830 -2.164
1530420 -4204.385 -6233.507 7517.470 -2.164
1530480 -4213.053 -6234.239 7517.030 -2.164
1530540 -4205.574 -6228.836 7516.670 -2.164
1530600 -4203.018 -6227.926 7518.660 -2.164
1530660 -4205.570 -6234.864 7518.750 -2.164
1530720 -4204.167 -6224.589 7515.950 -2.164
1530780 -4209.097 -6230.100 7520.710 -2.164
1530840 -4206.683 -6226.060 7518.930 -2.164
1530900 -4207.032 -6237.957 7519.280 -2.164
1530960 -4204.623 -6235.477 7519.420 -2.164
1531020 -4200.849 -6230.436 7519.860 -2.164
1531080 -4200.824 -6231.789 7519.370 -2.164
1531140 -4198.273 -6228.928 7518.460 -2.164
1531200 -4198.406 -6232.934 7520.720 -2.164
1531260 -4205.043 -6232.837 7518.310 -2.164
1531320 -4196.101 -6235.267 7520.770 -2.164
1531380 -4202.167 -6236.375 7517.660 -2.164
1531440 -4205.383 -6232.991 7519.360 -2.164
1531500 -4204.902 -6235.581 7516.610 -2.164
1531560 -4205.514 -6235.435 7518.880 -2.164
1531620 -4205.986 -6233.834 7518.370 -2.164
1531680 -4196.016 -6238.388 7520.340 -2.164
1531740 -4200.541 -6239.490 7522.750 -2.164
1531800 -4196.850 -6233.003 7518.350 -2.164
